=== 2025-11-08 18:10:19 — workload=redis env=bare run=3/7 ===
$ memtier_benchmark -s 192.168.1.149 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         2659.25          ---          ---       149.35499         6.81500        23.16700        87.55100       287.96 
Gets        26592.21       123.21     26469.01       148.44473         6.81500        23.16700        87.55100      1043.80 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      29251.46       123.21     26469.01       148.52748         6.81500        23.16700        87.55100      1331.77 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.415        0.000
SET       4.671        5.000
SET       5.663       10.000
SET       6.271       15.000
SET       6.431       20.000
SET       6.527       25.000
SET       6.591       30.000
SET       6.655       35.000
SET       6.719       40.000
SET       6.751       45.000
SET       6.815       50.000
SET       6.847       52.500
SET       6.879       55.000
SET       6.879       57.500
SET       6.911       60.000
SET       6.975       62.500
SET       7.007       65.000
SET       7.071       67.500
SET       7.167       70.000
SET       7.359       72.500
SET       7.679       75.000
SET       7.839       76.250
SET       7.967       77.500
SET       8.095       78.750
SET       8.255       80.000
SET       8.383       81.250
SET       8.447       82.500
SET       8.575       83.750
SET       8.703       85.000
SET       8.831       86.250
SET       8.959       87.500
SET       9.023       88.125
SET       9.087       88.750
SET       9.215       89.375
SET       9.343       90.000
SET       9.535       90.625
SET       9.855       91.250
SET      10.047       91.875
SET      10.175       92.500
SET      10.303       93.125
SET      10.431       93.750
SET      10.431       94.062
SET      10.495       94.375
SET      10.559       94.688
SET      10.623       95.000
SET      10.687       95.312
SET      10.815       95.625
SET      10.943       95.938
SET      11.327       96.250
SET      11.775       96.562
SET      12.223       96.875
SET      12.415       97.031
SET      12.543       97.188
SET      12.671       97.344
SET      12.799       97.500
SET      12.991       97.656
SET      13.183       97.812
SET      13.695       97.969
SET      14.463       98.125
SET      15.359       98.281
SET      16.511       98.438
SET      17.151       98.516
SET      17.919       98.594
SET      18.815       98.672
SET      19.583       98.750
SET      20.351       98.828
SET      21.503       98.906
SET      22.911       98.984
SET      24.575       99.062
SET      26.623       99.141
SET      29.183       99.219
SET      30.463       99.258
SET      31.871       99.297
SET      33.535       99.336
SET      35.071       99.375
SET      36.607       99.414
SET      38.399       99.453
SET      40.447       99.492
SET      42.495       99.531
SET      45.055       99.570
SET      47.871       99.609
SET      49.407       99.629
SET      50.943       99.648
SET      52.223       99.668
SET      54.015       99.688
SET      55.551       99.707
SET      57.343       99.727
SET      59.391       99.746
SET      61.695       99.766
SET      63.999       99.785
SET      67.071       99.805
SET      68.095       99.814
SET      69.631       99.824
SET      71.167       99.834
SET      73.215       99.844
SET      75.263       99.854
SET      77.311       99.863
SET      79.871       99.873
SET      82.943       99.883
SET      85.503       99.893
SET      88.063       99.902
SET      90.111       99.907
SET      92.159       99.912
SET      94.207       99.917
SET      96.255       99.922
SET      99.327       99.927
SET     102.399       99.932
SET     105.983       99.937
SET     110.079       99.941
SET     114.175       99.946
SET     119.295       99.951
SET     122.367       99.954
SET     125.951       99.956
SET     130.047       99.958
SET     134.143       99.961
SET     139.263       99.963
SET     147.455       99.966
SET     154.623       99.968
SET     163.839       99.971
SET     214.015       99.973
SET     329.727       99.976
SET    603979.750       99.977
SET    603979.750      100.000
---
GET       0.367        0.000
GET       4.671        5.000
GET       5.663       10.000
GET       6.239       15.000
GET       6.431       20.000
GET       6.527       25.000
GET       6.591       30.000
GET       6.655       35.000
GET       6.719       40.000
GET       6.751       45.000
GET       6.815       50.000
GET       6.847       52.500
GET       6.847       55.000
GET       6.879       57.500
GET       6.911       60.000
GET       6.975       62.500
GET       7.007       65.000
GET       7.071       67.500
GET       7.167       70.000
GET       7.327       72.500
GET       7.679       75.000
GET       7.839       76.250
GET       7.967       77.500
GET       8.095       78.750
GET       8.255       80.000
GET       8.383       81.250
GET       8.447       82.500
GET       8.575       83.750
GET       8.703       85.000
GET       8.831       86.250
GET       8.959       87.500
GET       9.023       88.125
GET       9.087       88.750
GET       9.215       89.375
GET       9.343       90.000
GET       9.535       90.625
GET       9.855       91.250
GET      10.047       91.875
GET      10.175       92.500
GET      10.303       93.125
GET      10.431       93.750
GET      10.431       94.062
GET      10.495       94.375
GET      10.559       94.688
GET      10.623       95.000
GET      10.687       95.312
GET      10.751       95.625
GET      10.943       95.938
GET      11.327       96.250
GET      11.775       96.562
GET      12.223       96.875
GET      12.415       97.031
GET      12.543       97.188
GET      12.671       97.344
GET      12.799       97.500
GET      12.991       97.656
GET      13.183       97.812
GET      13.631       97.969
GET      14.399       98.125
GET      15.295       98.281
GET      16.511       98.438
GET      17.151       98.516
GET      17.919       98.594
GET      18.687       98.672
GET      19.583       98.750
GET      20.351       98.828
GET      21.375       98.906
GET      22.783       98.984
GET      24.575       99.062
GET      26.623       99.141
GET      29.055       99.219
GET      30.335       99.258
GET      31.871       99.297
GET      33.535       99.336
GET      35.071       99.375
GET      36.607       99.414
GET      38.399       99.453
GET      40.447       99.492
GET      42.751       99.531
GET      45.311       99.570
GET      47.871       99.609
GET      49.407       99.629
GET      50.943       99.648
GET      52.479       99.668
GET      54.015       99.688
GET      55.551       99.707
GET      57.343       99.727
GET      59.391       99.746
GET      61.695       99.766
GET      64.255       99.785
GET      67.071       99.805
GET      68.095       99.814
GET      69.631       99.824
GET      71.679       99.834
GET      73.215       99.844
GET      75.263       99.854
GET      77.311       99.863
GET      79.871       99.873
GET      82.943       99.883
GET      85.503       99.893
GET      88.575       99.902
GET      90.111       99.907
GET      92.159       99.912
GET      94.207       99.917
GET      96.767       99.922
GET      99.839       99.927
GET     102.911       99.932
GET     105.983       99.937
GET     109.567       99.941
GET     113.663       99.946
GET     118.783       99.951
GET     121.855       99.954
GET     124.927       99.956
GET     128.511       99.958
GET     133.119       99.961
GET     137.215       99.963
GET     145.407       99.966
GET     150.527       99.968
GET     158.719       99.971
GET     190.463       99.973
GET     315.391       99.976
GET    603979.750       99.977
GET    603979.750      100.000
---
WAIT      0.000      100.000
=== end ===
