=== 2025-11-09 02:57:56 — workload=redis env=docker run=4/7 ===
$ memtier_benchmark -s 192.168.1.149 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         2174.97          ---          ---       179.30276         8.51100        26.36700        92.15900       235.52 
Gets        21749.49       100.77     21648.72       179.29723         8.51100        26.49500        92.67100       853.72 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      23924.46       100.77     21648.72       179.29773         8.51100        26.36700        92.67100      1089.24 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.471        0.000
SET       6.175        5.000
SET       7.519       10.000
SET       8.063       15.000
SET       8.255       20.000
SET       8.319       25.000
SET       8.383       30.000
SET       8.383       35.000
SET       8.447       40.000
SET       8.511       45.000
SET       8.511       50.000
SET       8.575       52.500
SET       8.575       55.000
SET       8.575       57.500
SET       8.575       60.000
SET       8.639       62.500
SET       8.639       65.000
SET       8.639       67.500
SET       8.703       70.000
SET       8.703       72.500
SET       8.767       75.000
SET       8.767       76.250
SET       8.831       77.500
SET       8.895       78.750
SET       8.959       80.000
SET       9.087       81.250
SET       9.343       82.500
SET       9.599       83.750
SET       9.855       85.000
SET      10.047       86.250
SET      10.175       87.500
SET      10.303       88.125
SET      10.367       88.750
SET      10.431       89.375
SET      10.495       90.000
SET      10.559       90.625
SET      10.687       91.250
SET      10.751       91.875
SET      10.815       92.500
SET      10.943       93.125
SET      11.071       93.750
SET      11.135       94.062
SET      11.327       94.375
SET      11.583       94.688
SET      11.903       95.000
SET      12.351       95.312
SET      12.735       95.625
SET      12.991       95.938
SET      13.247       96.250
SET      13.439       96.562
SET      13.695       96.875
SET      13.887       97.031
SET      14.271       97.188
SET      14.783       97.344
SET      15.295       97.500
SET      15.743       97.656
SET      16.063       97.812
SET      16.319       97.969
SET      16.639       98.125
SET      17.279       98.281
SET      18.559       98.438
SET      19.199       98.516
SET      19.967       98.594
SET      20.863       98.672
SET      22.015       98.750
SET      23.167       98.828
SET      24.447       98.906
SET      25.983       98.984
SET      28.031       99.062
SET      30.463       99.141
SET      33.279       99.219
SET      34.559       99.258
SET      35.839       99.297
SET      37.375       99.336
SET      38.911       99.375
SET      40.703       99.414
SET      42.495       99.453
SET      44.799       99.492
SET      47.359       99.531
SET      49.919       99.570
SET      52.479       99.609
SET      54.015       99.629
SET      55.295       99.648
SET      56.831       99.668
SET      58.367       99.688
SET      60.159       99.707
SET      61.951       99.727
SET      64.255       99.746
SET      67.071       99.766
SET      69.119       99.785
SET      71.679       99.805
SET      73.215       99.814
SET      74.751       99.824
SET      76.287       99.834
SET      78.335       99.844
SET      80.895       99.854
SET      82.943       99.863
SET      84.991       99.873
SET      87.551       99.883
SET      90.111       99.893
SET      93.183       99.902
SET      95.231       99.907
SET      97.279       99.912
SET      99.327       99.917
SET     101.887       99.922
SET     104.447       99.927
SET     108.031       99.932
SET     111.615       99.937
SET     115.711       99.941
SET     120.831       99.946
SET     125.439       99.951
SET     128.511       99.954
SET     133.119       99.956
SET     137.215       99.958
SET     144.383       99.961
SET     151.551       99.963
SET     161.791       99.966
SET     177.151       99.968
SET     288.767       99.971
SET    603979.750       99.973
SET    603979.750      100.000
---
GET       0.383        0.000
GET       6.175        5.000
GET       7.519       10.000
GET       8.063       15.000
GET       8.255       20.000
GET       8.319       25.000
GET       8.383       30.000
GET       8.383       35.000
GET       8.447       40.000
GET       8.511       45.000
GET       8.511       50.000
GET       8.511       52.500
GET       8.575       55.000
GET       8.575       57.500
GET       8.575       60.000
GET       8.639       62.500
GET       8.639       65.000
GET       8.639       67.500
