=== 2025-11-08 23:21:56 — workload=redis env=docker run=1/7 ===
$ memtier_benchmark -s 192.168.1.149 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         2179.33          ---          ---       176.73331         8.51100        25.72700        95.74300       235.99 
Gets        21793.02        52.15     21740.87       178.54256         8.51100        25.72700        95.74300       852.28 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      23972.34        52.15     21740.87       178.37808         8.51100        25.72700        95.74300      1088.27 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.431        0.000
SET       6.175        5.000
SET       7.551       10.000
SET       8.063       15.000
SET       8.255       20.000
SET       8.319       25.000
SET       8.383       30.000
SET       8.447       35.000
SET       8.447       40.000
SET       8.511       45.000
SET       8.511       50.000
SET       8.575       52.500
SET       8.575       55.000
SET       8.575       57.500
SET       8.575       60.000
SET       8.639       62.500
SET       8.639       65.000
SET       8.703       67.500
SET       8.703       70.000
SET       8.703       72.500
SET       8.767       75.000
SET       8.831       76.250
SET       8.831       77.500
SET       8.895       78.750
SET       8.959       80.000
SET       9.087       81.250
SET       9.343       82.500
SET       9.663       83.750
SET       9.855       85.000
SET      10.047       86.250
SET      10.239       87.500
SET      10.303       88.125
SET      10.367       88.750
SET      10.431       89.375
SET      10.559       90.000
SET      10.623       90.625
SET      10.687       91.250
SET      10.751       91.875
SET      10.879       92.500
SET      11.007       93.125
SET      11.135       93.750
SET      11.327       94.062
SET      11.583       94.375
SET      11.967       94.688
SET      12.351       95.000
SET      12.735       95.312
SET      12.991       95.625
SET      13.183       95.938
SET      13.375       96.250
SET      13.503       96.562
SET      13.823       96.875
SET      14.079       97.031
SET      14.463       97.188
SET      14.847       97.344
SET      15.295       97.500
SET      15.743       97.656
SET      16.063       97.812
SET      16.255       97.969
SET      16.511       98.125
SET      17.151       98.281
SET      18.175       98.438
SET      18.815       98.516
SET      19.583       98.594
SET      20.351       98.672
SET      21.375       98.750
SET      22.527       98.828
