=== 2025-11-16 18:10:25 — workload=iperf env=bare run=2/7 ===
$ iperf3 -c 192.168.1.60 -t 60
Connecting to host 192.168.1.60, port 5201
[  5] local 172.26.148.227 port 49422 connected to 192.168.1.60 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  98.5 MBytes   825 Mbits/sec    1    373 KBytes       
[  5]   1.00-2.00   sec   106 MBytes   885 Mbits/sec    2    311 KBytes       
[  5]   2.00-3.02   sec   108 MBytes   890 Mbits/sec    4    281 KBytes       
[  5]   3.02-4.03   sec   105 MBytes   882 Mbits/sec    5    322 KBytes       
[  5]   4.03-5.02   sec   106 MBytes   891 Mbits/sec    4    287 KBytes       
[  5]   5.02-6.02   sec   104 MBytes   878 Mbits/sec    2    331 KBytes       
[  5]   6.02-7.00   sec  95.1 MBytes   813 Mbits/sec    3    242 KBytes       
[  5]   7.00-8.02   sec   108 MBytes   894 Mbits/sec    6    270 KBytes       
[  5]   8.02-9.02   sec   105 MBytes   879 Mbits/sec    0    452 KBytes       
[  5]   9.02-10.02  sec   106 MBytes   892 Mbits/sec    0    600 KBytes       
[  5]  10.02-11.01  sec   105 MBytes   892 Mbits/sec    1    506 KBytes       
[  5]  11.01-12.02  sec   108 MBytes   892 Mbits/sec    1    523 KBytes       
[  5]  12.02-13.01  sec   106 MBytes   893 Mbits/sec    0    669 KBytes       
[  5]  13.01-14.02  sec   107 MBytes   890 Mbits/sec    1    588 KBytes       
[  5]  14.02-15.01  sec   104 MBytes   881 Mbits/sec    1    554 KBytes       
[  5]  15.01-16.02  sec   107 MBytes   893 Mbits/sec    1    542 KBytes       
[  5]  16.02-17.02  sec   107 MBytes   902 Mbits/sec    0    672 KBytes       
[  5]  17.02-18.01  sec   106 MBytes   897 Mbits/sec    0    785 KBytes       
[  5]  18.01-19.01  sec   105 MBytes   882 Mbits/sec    0    884 KBytes       
[  5]  19.01-20.00  sec   106 MBytes   892 Mbits/sec    1    683 KBytes       
[  5]  20.00-21.00  sec   100 MBytes   840 Mbits/sec    0    786 KBytes       
[  5]  21.00-22.02  sec   108 MBytes   895 Mbits/sec    0    885 KBytes       
[  5]  22.02-23.01  sec   106 MBytes   896 Mbits/sec    2    537 KBytes       
[  5]  23.01-24.02  sec   107 MBytes   888 Mbits/sec    1    546 KBytes       
[  5]  24.02-25.02  sec   106 MBytes   891 Mbits/sec    1    518 KBytes       
[  5]  25.02-26.00  sec   105 MBytes   889 Mbits/sec    2    337 KBytes       
[  5]  26.00-27.02  sec   107 MBytes   887 Mbits/sec    0    532 KBytes       
